id;nameGroup;codeGroup;idWorkplace;outsource
1;Biochemistry;101;1;0
2;Non-Gynaecology Cytology;102;2;1
3;Bacteriology;103;3;0
4;Immunology;104;4;0
5;Haematology;105;5;0
6;Microbiology;106;6;0
7;Virology;107;7;0
8;Molecular Microbiology;108;8;0
9;Gynaecological Cytology;109;9;0
10;Vaccine Evaluation Unit;110;10;0
11;Histopathology;111;11;0
12;Synovial Fluid Cytology;112;12;0
13;Meningococcal Reference Unit;113;13;0
